Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T3,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Llama,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Mimic-GPT-5.4,1000,500,1000,850,550,950
painting_2,sold,Mimic-Llama,1950,850,1350,1950,1850,1550
painting_3,sold,Mimic-Opus,1200,1100,800,900,1200,850
painting_4,sold,Mimic-Llama,1700,950,1100,1700,1000,1600
painting_5,sold,Math-T3,1500,1500,950,750,1200,1400
painting_6,sold,Mimic-Pro,1650,1150,1550,800,1250,1650
painting_7,sold,Mimic-Opus,2000,1800,1700,950,2000,1400
painting_8,sold,Mimic-Pro,2400,2300,2000,2200,1400,2400
painting_9,sold,Mimic-GPT-5.4,2800,2600,2800,2000,1600,1800
painting_10,sold,Math-T3,4250,4250,2300,4000,2800,1900
painting_11,sold,Mimic-Llama,4500,3500,2900,4500,2800,4250
painting_12,sold,Mimic-Opus,5750,4250,5500,1500,5750,4000

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T3,2,4250,5750,0.575,12,12,0,2558.333
Mimic-GPT-5.4,2,6200,3800,0.38,12,12,0,2558.333
Mimic-Llama,3,1850,8150,0.815,12,12,0,2558.333
Mimic-Opus,3,1050,8950,0.895,12,12,0,2558.333
Mimic-Pro,2,5950,4050,0.405,12,12,0,2558.333
