Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T1,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Pro
painting_1,sold,Math-T1,1600,1600,1500,700,850,1100
painting_2,sold,Math-T1,2700,2700,1400,1800,2600,1100
painting_3,sold,Mimic-Llama,5500,5250,1000,1600,5500,1300
painting_4,sold,Math-T1,2500,2500,1400,1600,2400,1700
painting_5,sold,Mimic-Llama,3050,2850,2050,1650,3050,1750
painting_6,sold,Mimic-GPT-5.4,3050,2950,3050,1450,1050,
painting_7,sold,Mimic-Grok,4500,2600,2700,4500,1000,4250
painting_8,sold,Mimic-Pro,3850,2800,3600,1200,1400,3850
painting_9,sold,Mimic-Pro,3750,3000,3250,3500,1000,3750
painting_10,sold,Mimic-GPT-5.4,3000,2900,3000,900,1100,2100
painting_11,sold,Mimic-Grok,4200,3000,3950,4200,1000,1500
painting_12,sold,Mimic-GPT-5.4,3050,2950,3050,900,1050,2250

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T1,3,3200,6800,0.68,12,12,0,3395.833
Mimic-GPT-5.4,3,900,9100,0.91,12,12,0,3395.833
Mimic-Grok,2,1300,8700,0.87,12,12,0,3395.833
Mimic-Llama,2,1450,8550,0.855,12,12,0,3395.833
Mimic-Pro,2,2400,7600,0.76,12,12,0,3395.833
