Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T4,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus
painting_1,sold,Math-T4,1100,1100,850,500,950,1000
painting_2,sold,Math-T4,1900,1900,1200,,1700,1800
painting_3,sold,Mimic-Llama,4500,4250,1500,550,4500,1300
painting_4,sold,Math-T4,4000,4000,1400,2200,3750,2300
painting_5,sold,Mimic-Llama,3550,2750,2650,2450,3550,3050
painting_6,sold,Mimic-GPT-5.4,3250,3000,3250,1700,1600,2400
painting_7,sold,Mimic-Opus,4000,2800,2700,3750,1900,4000
painting_8,sold,Mimic-Grok,3750,2800,3250,3750,1900,2600
painting_9,sold,Mimic-Grok,4500,2900,4250,4500,1800,4000
painting_10,sold,Mimic-GPT-5.4,4500,2700,4500,500,1800,4250
painting_11,sold,Mimic-Opus,2950,2850,2250,1500,1900,2950
painting_12,sold,Mimic-Opus,3000,2900,2000,1400,1800,3000

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T4,3,3000,7000,0.7,12,12,0,3416.667
Mimic-GPT-5.4,2,2250,7750,0.775,12,12,0,3416.667
Mimic-Grok,2,1750,8250,0.825,12,12,0,3416.667
Mimic-Llama,2,1950,8050,0.805,12,12,0,3416.667
Mimic-Opus,3,50,9950,0.995,12,12,0,3416.667
