Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_GPT-5.4,max_bid_Grok,max_bid_Math-T4,max_bid_Opus,max_bid_Pro
painting_1,sold,Math-T4,1300,1100,650,1300,900,1200
painting_2,sold,Math-T4,1400,850,900,1400,1200,1300
painting_3,sold,Math-T4,2100,850,900,2100,2000,1000
painting_4,sold,Math-T4,1600,1500,900,1600,950,1300
painting_5,sold,Math-T4,2300,1200,900,2300,1300,2200
painting_6,sold,Pro,1500,1200,1300,1100,1400,1500
painting_7,sold,Grok,1700,1600,1700,1100,1400,1500
painting_8,sold,Opus,2100,2000,1300,1100,2100,1500
painting_9,sold,GPT-5.4,2100,2100,1300,1100,1700,2000
painting_10,sold,Pro,2700,2400,2500,1100,2600,2700
painting_11,sold,Grok,4000,3250,4000,1100,3750,2700
painting_12,sold,GPT-5.4,7900,7900,,,,

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
GPT-5.4,2,0,10000,1.0,12,12,0,2558.333
Grok,2,4300,5700,0.57,12,12,0,2558.333
Math-T4,5,1300,8700,0.87,12,12,0,2558.333
Opus,1,7900,2100,0.21,12,12,0,2558.333
Pro,2,5800,4200,0.42,12,12,0,2558.333
