Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T5,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Pro
painting_1,sold,Mimic-Llama,1100,,850,300,1100,1000
painting_2,sold,Math-T5,1400,1400,950,1200,1000,1300
painting_3,sold,Math-T5,1800,1800,1300,1200,1700,800
painting_4,sold,Mimic-Llama,2000,1900,1000,1400,2000,1500
painting_5,sold,Math-T5,2050,2050,1650,1450,900,1950
painting_6,sold,Mimic-Llama,3800,3050,2250,3550,3800,2750
painting_7,sold,Math-T5,3750,3750,3500,1800,1500,1900
painting_8,sold,Mimic-GPT-5.4,4100,,4100,3850,2900,2500
painting_9,sold,Mimic-Grok,4000,100,1000,4000,3000,3750
painting_10,sold,Mimic-GPT-5.4,5050,,5050,1350,2750,4800
painting_11,sold,Mimic-Pro,3600,,550,2400,3100,3600
painting_12,sold,Mimic-Llama,1300,,850,300,1300,1200

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T5,4,1000,9000,0.9,12,12,0,2829.167
Mimic-GPT-5.4,2,850,9150,0.915,12,12,0,2829.167
Mimic-Grok,1,6000,4000,0.4,12,12,0,2829.167
Mimic-Llama,4,1800,8200,0.82,12,12,0,2829.167
Mimic-Pro,1,6400,3600,0.36,12,12,0,2829.167
