Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T4,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus
painting_1,sold,Math-T4,2200,2200,1000,1900,2100,1100
painting_2,sold,Mimic-Llama,4750,4250,1300,1000,4750,1400
painting_3,sold,Math-T4,1600,1600,1300,750,250,1500
painting_4,sold,Math-T4,2200,2200,1500,1700,1900,2100
painting_5,sold,Mimic-Llama,4250,3750,2100,2700,4250,4000
painting_6,sold,Math-T4,2800,2800,2700,1200,950,650
painting_7,sold,Mimic-Opus,4000,900,3750,3000,850,4000
painting_8,sold,Mimic-Grok,6000,1000,5750,6000,950,2200
painting_9,sold,Mimic-GPT-5.4,2200,1100,2200,450,1000,2000
painting_10,sold,Mimic-GPT-5.4,3850,900,3850,1900,850,3600
painting_11,sold,Mimic-Opus,4000,950,3750,1300,900,4000
painting_12,sold,Mimic-Grok,3750,950,3500,3750,900,2000

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T4,4,1200,8800,0.88,12,12,0,3466.667
Mimic-GPT-5.4,2,3950,6050,0.605,12,12,0,3466.667
Mimic-Grok,2,250,9750,0.975,12,12,0,3466.667
Mimic-Llama,2,1000,9000,0.9,12,12,0,3466.667
Mimic-Opus,2,2000,8000,0.8,12,12,0,3466.667
