Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T5,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Pro
painting_1,sold,Math-T5,1700,1700,1400,900,1200,1600
painting_2,sold,Mimic-Llama,1400,,900,,1400,1200
painting_3,sold,Mimic-Llama,1900,1800,1200,700,1900,800
painting_4,sold,Math-T5,1500,1500,1300,850,800,1400
painting_5,sold,Math-T5,1700,1700,1600,650,900,1400
painting_6,sold,Mimic-Llama,3500,3000,2100,2600,3500,2300
painting_7,sold,Math-T5,3000,3000,2900,1200,1100,1800
painting_8,sold,Mimic-GPT-5.4,3000,400,3000,2500,2800,2300
painting_9,sold,Mimic-GPT-5.4,5150,1850,5150,4400,2750,3400
painting_10,sold,Mimic-Pro,3000,2000,1400,2600,2900,3000
painting_11,sold,Mimic-Grok,5500,2100,1400,5500,2800,5000
painting_12,sold,Mimic-Pro,3250,150,1700,2600,3000,3250

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T5,4,2100,7900,0.79,12,12,0,2883.333
Mimic-GPT-5.4,2,1850,8150,0.815,12,12,0,2883.333
Mimic-Grok,1,4500,5500,0.55,12,12,0,2883.333
Mimic-Llama,3,3200,6800,0.68,12,12,0,2883.333
Mimic-Pro,2,3750,6250,0.625,12,12,0,2883.333
