Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_GPT-5.4,max_bid_Grok,max_bid_Llama,max_bid_Opus,max_bid_Pro
painting_1,sold,Pro,1000,800,200,950,750,1000
painting_2,sold,Llama,950,850,900,950,800,650
painting_3,sold,Opus,1300,850,700,1200,1300,1100
painting_4,sold,Llama,1200,1100,200,1200,700,950
painting_5,sold,GPT-5.4,1400,1400,950,1300,1100,900
painting_6,sold,Llama,1500,1200,1300,1500,1100,900
painting_7,sold,GPT-5.4,1600,1600,1500,1100,1200,1400
painting_8,sold,Llama,2200,1200,1800,2200,1600,2000
painting_9,sold,Grok,2300,1600,2300,1000,2200,2000
painting_10,sold,Pro,2600,2200,2400,2000,2500,2600
painting_11,sold,Opus,6650,3500,3000,2200,6650,6400
painting_12,sold,Grok,7250,7000,7250,,,

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
GPT-5.4,2,7000,3000,0.3,12,12,0,2495.833
Grok,2,450,9550,0.955,12,12,0,2495.833
Llama,4,4150,5850,0.585,12,12,0,2495.833
Opus,2,2050,7950,0.795,12,12,0,2495.833
Pro,2,6400,3600,0.36,12,12,0,2495.833
