Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T1,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus
painting_1,sold,Math-T1,1400,1400,1300,1200,950,800
painting_2,sold,Math-T1,5500,5500,1200,250,5250,900
painting_3,sold,Mimic-Llama,3250,3000,1600,750,3250,2600
painting_4,sold,Math-T1,2800,2800,1700,2200,2300,2700
painting_5,sold,Mimic-Opus,2900,100,2400,1900,2800,2900
painting_6,sold,Mimic-Llama,2900,100,2700,,2900,2200
painting_7,sold,Mimic-Grok,4000,100,3500,4000,3750,2300
painting_8,sold,Mimic-GPT-5.4,4000,100,4000,200,3750,2900
painting_9,sold,Mimic-Opus,4850,100,4350,4100,3350,4850
painting_10,sold,Mimic-GPT-5.4,4050,100,4050,2150,3800,1950
painting_11,sold,Mimic-Grok,4100,100,1600,4100,3850,2250
painting_12,sold,Mimic-Llama,2350,100,1750,1650,2350,2150

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T1,3,300,9700,0.97,12,12,0,3508.333
Mimic-GPT-5.4,2,1950,8050,0.805,12,12,0,3508.333
Mimic-Grok,2,1900,8100,0.81,12,12,0,3508.333
Mimic-Llama,3,1500,8500,0.85,12,12,0,3508.333
Mimic-Opus,2,2250,7750,0.775,12,12,0,3508.333
