Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_GPT-5.4,max_bid_Llama,max_bid_Math-T5,max_bid_Opus,max_bid_Pro
painting_1,sold,Math-T5,1300,1000,1200,1300,750,900
painting_2,sold,Llama,2200,1000,2200,2000,750,1700
painting_3,sold,Opus,2100,1100,850,2000,2100,1500
painting_4,sold,Math-T5,1800,1000,1700,1800,750,1200
painting_5,sold,Math-T5,2000,1800,1200,2000,750,1900
painting_6,sold,Math-T5,3250,2500,3000,3250,1000,1300
painting_7,sold,Pro,1800,1600,1700,1500,1000,1800
painting_8,sold,GPT-5.4,2300,2300,2200,200,1500,1400
painting_9,sold,Llama,2100,1800,2100,,1400,2000
painting_10,sold,Llama,3000,2300,3000,,1400,2900
painting_11,sold,GPT-5.4,3500,3500,2500,,3250,3000
painting_12,sold,Pro,8200,,100,,,8200

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
GPT-5.4,2,4200,5800,0.58,12,12,0,2795.833
Llama,3,2700,7300,0.73,12,12,0,2795.833
Math-T5,4,1650,8350,0.835,12,12,0,2795.833
Opus,1,7900,2100,0.21,12,12,0,2795.833
Pro,2,0,10000,1.0,12,12,0,2795.833
