Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_GPT-5.4,max_bid_Grok,max_bid_Llama,max_bid_Opus,max_bid_Pro
painting_1,sold,Pro,1300,900,100,1200,1000,1300
painting_2,sold,Llama,1200,1000,850,1200,900,650
painting_3,sold,Llama,1800,1100,850,1800,1700,900
painting_4,sold,Opus,1200,1000,1100,750,1200,900
painting_5,sold,GPT-5.4,1300,1300,850,1200,950,900
painting_6,sold,Llama,1500,1000,100,1500,1400,1100
painting_7,sold,Grok,1600,1200,1600,1100,1500,1400
painting_8,sold,Opus,1800,1600,1300,1100,1800,1700
painting_9,sold,GPT-5.4,2200,2200,2100,1000,950,1900
painting_10,sold,Grok,3000,2300,3000,1500,1900,2900
painting_11,sold,GPT-5.4,3750,3750,100,3500,1900,2300
painting_12,sold,Pro,8700,,100,,,8700

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
GPT-5.4,3,2750,7250,0.725,12,12,0,2445.833
Grok,2,5400,4600,0.46,12,12,0,2445.833
Llama,3,5500,4500,0.45,12,12,0,2445.833
Opus,2,7000,3000,0.3,12,12,0,2445.833
Pro,2,0,10000,1.0,12,12,0,2445.833
