Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_GPT-5.4,max_bid_Grok,max_bid_Llama,max_bid_Opus,max_bid_Pro
painting_1,sold,Llama,1000,950,650,1000,850,900
painting_2,sold,GPT-5.4,950,950,850,750,800,900
painting_3,sold,Opus,1400,850,100,1300,1400,800
painting_4,sold,Llama,1700,950,1100,1700,800,1600
painting_5,sold,Pro,1200,950,1100,750,1000,1200
painting_6,sold,Grok,1600,1500,1600,1000,1100,900
painting_7,sold,Pro,1700,1400,1600,1000,1500,1700
painting_8,sold,Llama,2100,2000,100,2100,1300,1400
painting_9,sold,GPT-5.4,2000,2000,850,1000,1900,1500
painting_10,sold,Grok,2500,2100,2500,1700,2400,2000
painting_11,sold,Pro,7100,650,350,700,750,7100
painting_12,sold,Opus,7100,5950,100,,7100,

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
GPT-5.4,2,7050,2950,0.295,12,12,0,2529.167
Grok,2,5900,4100,0.41,12,12,0,2529.167
Llama,3,5200,4800,0.48,12,12,0,2529.167
Opus,2,1500,8500,0.85,12,12,0,2529.167
Pro,3,0,10000,1.0,12,12,0,2529.167
