Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T4,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus
painting_1,sold,Math-T4,1700,1700,800,450,1600,1000
painting_2,sold,Mimic-Llama,4300,3550,1050,950,4300,1750
painting_3,sold,Math-T4,1800,1800,1200,500,800,1700
painting_4,sold,Math-T4,4250,4250,1300,1200,4000,2300
painting_5,sold,Mimic-Llama,2600,2000,2300,2200,2600,2500
painting_6,sold,Mimic-Opus,3250,1900,2900,1600,3000,3250
painting_7,sold,Mimic-GPT-5.4,3750,2000,3750,3500,3000,3250
painting_8,sold,Mimic-Grok,4500,1800,3250,4500,2800,4250
painting_9,sold,Mimic-Grok,5250,1900,4250,5250,3000,4750
painting_10,sold,Mimic-Opus,6000,2100,5750,250,2800,6000
painting_11,sold,Mimic-GPT-5.4,3100,2200,3100,,2900,650
painting_12,sold,Mimic-GPT-5.4,3100,2000,3100,200,2900,700

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T4,3,2250,7750,0.775,12,12,0,3633.333
Mimic-GPT-5.4,3,50,9950,0.995,12,12,0,3633.333
Mimic-Grok,2,250,9750,0.975,12,12,0,3633.333
Mimic-Llama,2,3100,6900,0.69,12,12,0,3633.333
Mimic-Opus,2,750,9250,0.925,12,12,0,3633.333
