Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T5,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Math-T5,1600,1600,950,1100,1500,1300
painting_2,sold,Math-T5,1700,1700,900,400,1600,
painting_3,sold,Mimic-Opus,1400,,1100,500,1400,1300
painting_4,sold,Math-T5,1600,1600,1000,1500,950,1300
painting_5,sold,Math-T5,1800,1800,150,950,900,1700
painting_6,sold,Math-T5,2500,2500,2100,2400,1500,2000
painting_7,sold,Mimic-Grok,2400,250,2300,2400,900,2200
painting_8,sold,Mimic-GPT-5.4,2100,600,2100,1100,950,2000
painting_9,sold,Mimic-Pro,3600,300,3350,2900,2100,3600
painting_10,sold,Mimic-Opus,4350,,3600,3850,4350,2700
painting_11,sold,Mimic-GPT-5.4,4600,,4600,3600,2000,4350
painting_12,sold,Mimic-Grok,5000,300,2900,5000,4250,4750

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T5,5,800,9200,0.92,12,12,0,2720.833
Mimic-GPT-5.4,2,3300,6700,0.67,12,12,0,2720.833
Mimic-Grok,2,2600,7400,0.74,12,12,0,2720.833
Mimic-Opus,2,4250,5750,0.575,12,12,0,2720.833
Mimic-Pro,1,6400,3600,0.36,12,12,0,2720.833
