Auction Bid Log Export
Total paintings processed: 12
Sold: 12 | Unsold: 0
Average winning bid: 1566.667

painting_1 | status=sold | winner=Llama | winning_bid=1500
  turn 1: Grok RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Llama RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: GPT-5.4 RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Opus RAISE to 250 (before=200, leader_after=bidder_4)
  turn 5: Pro RAISE to 300 (before=250, leader_after=bidder_5)
  turn 6: Grok PASS (before=300, leader_after=bidder_5)
  turn 7: Llama RAISE to 350 (before=300, leader_after=bidder_2)
  turn 8: GPT-5.4 RAISE to 400 (before=350, leader_after=bidder_3)
  turn 9: Opus RAISE to 450 (before=400, leader_after=bidder_4)
  turn 10: Pro PASS (before=450, leader_after=bidder_4)
  turn 11: Llama RAISE to 500 (before=450, leader_after=bidder_2)
  turn 12: GPT-5.4 RAISE to 550 (before=500, leader_after=bidder_3)
  turn 13: Opus RAISE to 600 (before=550, leader_after=bidder_4)
  turn 14: Llama RAISE to 700 (before=600, leader_after=bidder_2)
  turn 15: GPT-5.4 PASS (before=700, leader_after=bidder_2)
  turn 16: Opus RAISE to 750 (before=700, leader_after=bidder_4)
  turn 17: Llama RAISE to 800 (before=750, leader_after=bidder_2)
  turn 18: Opus RAISE to 850 (before=800, leader_after=bidder_4)
  turn 19: Llama RAISE to 1000 (before=850, leader_after=bidder_2)
  turn 20: Opus RAISE to 1100 (before=1000, leader_after=bidder_4)
  turn 21: Llama RAISE to 1500 (before=1100, leader_after=bidder_2)
  turn 22: Opus PASS (before=1500, leader_after=bidder_2)

painting_2 | status=sold | winner=Opus | winning_bid=1100
  turn 1: Grok RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Llama RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: GPT-5.4 RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Opus RAISE to 250 (before=200, leader_after=bidder_4)
  turn 5: Pro PASS (before=250, leader_after=bidder_4)
  turn 6: Grok RAISE to 300 (before=250, leader_after=bidder_1)
  turn 7: Llama RAISE to 500 (before=300, leader_after=bidder_2)
  turn 8: GPT-5.4 RAISE to 550 (before=500, leader_after=bidder_3)
