Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_GPT-5.4,max_bid_Grok,max_bid_Llama,max_bid_Opus,max_bid_Pro
painting_1,sold,Llama,1500,550,100,1500,1100,300
painting_2,sold,Opus,1100,1000,300,850,1100,
painting_3,sold,GPT-5.4,500,500,100,150,450,
painting_4,sold,GPT-5.4,450,450,100,150,250,400
painting_5,sold,GPT-5.4,950,950,900,150,250,
painting_6,sold,Opus,1000,950,100,150,1000,300
painting_7,sold,GPT-5.4,600,600,100,150,550,
painting_8,sold,GPT-5.4,700,700,100,150,650,
painting_9,sold,Pro,800,600,500,550,750,800
painting_10,sold,Opus,300,,100,250,300,
painting_11,sold,Llama,1700,,1600,1700,200,
painting_12,sold,Grok,9200,,9200,9450,,

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
GPT-5.4,5,6800,3200,0.32,12,12,0,1566.667
Grok,1,800,9200,0.92,12,12,0,1566.667
Llama,2,6800,3200,0.32,12,12,0,1566.667
Opus,3,7600,2400,0.24,12,12,0,1566.667
Pro,1,9200,800,0.08,12,12,0,1566.667
