Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T2,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus
painting_1,sold,Mimic-GPT-5.4,950,800,950,850,900,750
painting_2,sold,Mimic-Llama,1000,950,850,250,1000,900
painting_3,sold,Mimic-Llama,1600,800,900,500,1600,1500
painting_4,sold,Mimic-Llama,1250,900,800,1050,1250,850
painting_5,sold,Mimic-Opus,1550,1150,950,1350,600,1550
painting_6,sold,Mimic-Opus,1550,1350,1150,1450,1050,1550
painting_7,sold,Math-T2,1700,1700,1600,1500,1100,600
painting_8,sold,Mimic-Llama,2400,1700,2000,2100,2400,1200
painting_9,sold,Mimic-GPT-5.4,2400,2100,2400,2200,950,1100
painting_10,sold,Mimic-Grok,2850,2650,2050,2850,1950,1650
painting_11,sold,Math-T2,3500,3500,2700,3250,1800,2900
painting_12,sold,Mimic-Opus,5100,4100,4600,1100,2100,5100

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T2,2,4800,5200,0.52,12,12,0,2154.167
Mimic-GPT-5.4,2,6650,3350,0.335,12,12,0,2154.167
Mimic-Grok,1,7150,2850,0.285,12,12,0,2154.167
Mimic-Llama,4,3750,6250,0.625,12,12,0,2154.167
Mimic-Opus,3,1800,8200,0.82,12,12,0,2154.167
