Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T3,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Llama,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Mimic-Llama,850,600,800,850,700,650
painting_2,sold,Mimic-Opus,1500,800,1200,1000,1500,1300
painting_3,sold,Mimic-GPT-5.4,1300,1000,1300,900,1200,1100
painting_4,sold,Mimic-Llama,1600,1000,1300,1600,800,1400
painting_5,sold,Mimic-Llama,1700,1600,1200,1700,700,950
painting_6,sold,Math-T3,1850,1850,1550,1450,950,1750
painting_7,sold,Mimic-Pro,2100,1900,1500,1400,1800,2100
painting_8,sold,Math-T3,2050,2050,1750,1250,1650,1950
painting_9,sold,Mimic-Opus,2900,1200,2700,2300,2900,2800
painting_10,sold,Mimic-GPT-5.4,4500,4000,4500,3250,1400,3000
painting_11,sold,Mimic-Pro,6250,6000,1800,4500,2200,6250
painting_12,sold,Math-T3,5050,5050,4050,4800,4550,1350

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T3,3,1050,8950,0.895,12,12,0,2637.5
Mimic-GPT-5.4,2,4200,5800,0.58,12,12,0,2637.5
Mimic-Llama,3,5850,4150,0.415,12,12,0,2637.5
Mimic-Opus,2,5600,4400,0.44,12,12,0,2637.5
Mimic-Pro,2,1650,8350,0.835,12,12,0,2637.5
