Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T5,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Math-T5,1600,1600,1000,650,1500,1100
painting_2,sold,Math-T5,1500,1500,900,950,1300,1400
painting_3,sold,Mimic-Pro,1300,,1200,500,1100,1300
painting_4,sold,Math-T5,1300,1300,1100,1200,1000,900
painting_5,sold,Math-T5,2000,2000,1500,1900,1800,250
painting_6,sold,Math-T5,2100,2100,1600,1800,2000,1100
painting_7,sold,Mimic-GPT-5.4,2550,1450,2550,2150,2450,1350
painting_8,sold,Mimic-Opus,2100,1400,1900,2000,2100,300
painting_9,sold,Mimic-Grok,2650,1150,2550,2650,1650,
painting_10,sold,Mimic-Pro,4000,,3500,3750,3000,4000
painting_11,sold,Mimic-Grok,5000,,4750,5000,3250,1900
painting_12,sold,Mimic-GPT-5.4,7400,650,7400,250,6650,2250

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T5,5,1500,8500,0.85,12,12,0,2791.667
Mimic-GPT-5.4,2,50,9950,0.995,12,12,0,2791.667
Mimic-Grok,2,2350,7650,0.765,12,12,0,2791.667
Mimic-Opus,1,7900,2100,0.21,12,12,0,2791.667
Mimic-Pro,2,4700,5300,0.53,12,12,0,2791.667
