Auction Bid Log Export
Total paintings processed: 12
Sold: 12 | Unsold: 0
Average winning bid: 2191.667

painting_1 | status=sold | winner=Llama | winning_bid=1200
  turn 1: GPT-5.4 RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Grok RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Opus RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Math-T2 RAISE to 250 (before=200, leader_after=bidder_4)
  turn 5: Llama RAISE to 300 (before=250, leader_after=bidder_5)
  turn 6: GPT-5.4 RAISE to 350 (before=300, leader_after=bidder_1)
  turn 7: Grok RAISE to 400 (before=350, leader_after=bidder_2)
  turn 8: Opus RAISE to 450 (before=400, leader_after=bidder_3)
  turn 9: Math-T2 RAISE to 500 (before=450, leader_after=bidder_4)
  turn 10: Llama RAISE to 550 (before=500, leader_after=bidder_5)
  turn 11: GPT-5.4 RAISE to 600 (before=550, leader_after=bidder_1)
  turn 12: Grok RAISE to 650 (before=600, leader_after=bidder_2)
  turn 13: Opus RAISE to 700 (before=650, leader_after=bidder_3)
  turn 14: Math-T2 RAISE to 750 (before=700, leader_after=bidder_4)
  turn 15: Llama RAISE to 800 (before=750, leader_after=bidder_5)
  turn 16: GPT-5.4 RAISE to 850 (before=800, leader_after=bidder_1)
  turn 17: Grok PASS (before=850, leader_after=bidder_1)
  turn 18: Opus PASS (before=850, leader_after=bidder_1)
  turn 19: Math-T2 PASS (before=850, leader_after=bidder_1)
  turn 20: Llama RAISE to 900 (before=850, leader_after=bidder_5)
  turn 21: GPT-5.4 RAISE to 950 (before=900, leader_after=bidder_1)
  turn 22: Llama RAISE to 1000 (before=950, leader_after=bidder_5)
  turn 23: GPT-5.4 RAISE to 1100 (before=1000, leader_after=bidder_1)
  turn 24: Llama RAISE to 1200 (before=1100, leader_after=bidder_5)
  turn 25: GPT-5.4 PASS (before=1200, leader_after=bidder_5)

painting_2 | status=sold | winner=Opus | winning_bid=1100
  turn 1: GPT-5.4 RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Grok RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Opus RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Math-T2 RAISE to 250 (before=200, leader_after=bidder_4)
  turn 5: Llama RAISE to 350 (before=250, leader_after=bidder_5)
  turn 6: GPT-5.4 RAISE to 400 (before=350, leader_after=bidder_1)
  turn 7: Grok RAISE to 500 (before=400, leader_after=bidder_2)
  turn 8: Opus RAISE to 550 (before=500, leader_after=bidder_3)
  turn 9: Math-T2 RAISE to 600 (before=550, leader_after=bidder_4)
  turn 10: Llama RAISE to 650 (before=600, leader_after=bidder_5)
  turn 11: GPT-5.4 RAISE to 700 (before=650, leader_after=bidder_1)
  turn 12: Grok RAISE to 750 (before=700, leader_after=bidder_2)
  turn 13: Opus RAISE to 800 (before=750, leader_after=bidder_3)
  turn 14: Math-T2 RAISE to 850 (before=800, leader_after=bidder_4)
  turn 15: Llama PASS (before=850, leader_after=bidder_4)
  turn 16: GPT-5.4 RAISE to 900 (before=850, leader_after=bidder_1)
  turn 17: Grok PASS (before=900, leader_after=bidder_1)
  turn 18: Opus RAISE to 950 (before=900, leader_after=bidder_3)
  turn 19: Math-T2 PASS (before=950, leader_after=bidder_3)
  turn 20: GPT-5.4 RAISE to 1000 (before=950, leader_after=bidder_1)
  turn 21: Opus RAISE to 1100 (before=1000, leader_after=bidder_3)
  turn 22: GPT-5.4 PASS (before=1100, leader_after=bidder_3)

painting_3 | status=sold | winner=Llama | winning_bid=1100
  turn 1: GPT-5.4 RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Grok RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Opus RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Math-T2 RAISE to 250 (before=200, leader_after=bidder_4)
  turn 5: Llama RAISE to 300 (before=250, leader_after=bidder_5)
  turn 6: GPT-5.4 RAISE to 350 (before=300, leader_after=bidder_1)
  turn 7: Grok PASS (before=350, leader_after=bidder_1)
  turn 8: Opus RAISE to 400 (before=350, leader_after=bidder_3)
  turn 9: Math-T2 RAISE to 450 (before=400, leader_after=bidder_4)
  turn 10: Llama RAISE to 500 (before=450, leader_after=bidder_5)
  turn 11: GPT-5.4 RAISE to 550 (before=500, leader_after=bidder_1)
  turn 12: Opus RAISE to 600 (before=550, leader_after=bidder_3)
  turn 13: Math-T2 RAISE to 650 (before=600, leader_after=bidder_4)
  turn 14: Llama RAISE to 700 (before=650, leader_after=bidder_5)
  turn 15: GPT-5.4 RAISE to 750 (before=700, leader_after=bidder_1)
  turn 16: Opus RAISE to 800 (before=750, leader_after=bidder_3)
  turn 17: Math-T2 RAISE to 850 (before=800, leader_after=bidder_4)
  turn 18: Llama RAISE to 900 (before=850, leader_after=bidder_5)
  turn 19: GPT-5.4 RAISE to 950 (before=900, leader_after=bidder_1)
  turn 20: Opus PASS (before=950, leader_after=bidder_1)
  turn 21: Math-T2 RAISE to 1000 (before=950, leader_after=bidder_4)
  turn 22: Llama RAISE to 1100 (before=1000, leader_after=bidder_5)
  turn 23: GPT-5.4 PASS (before=1100, leader_after=bidder_5)
  turn 24: Math-T2 PASS (before=1100, leader_after=bidder_5)

painting_4 | status=sold | winner=GPT-5.4 | winning_bid=1400
  turn 1: GPT-5.4 RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Grok RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Opus RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Math-T2 RAISE to 250 (before=200, leader_after=bidder_4)
  turn 5: Llama RAISE to 300 (before=250, leader_after=bidder_5)
  turn 6: GPT-5.4 RAISE to 350 (before=300, leader_after=bidder_1)
  turn 7: Grok RAISE to 400 (before=350, leader_after=bidder_2)
  turn 8: Opus RAISE to 450 (before=400, leader_after=bidder_3)
  turn 9: Math-T2 RAISE to 500 (before=450, leader_after=bidder_4)
  turn 10: Llama RAISE to 550 (before=500, leader_after=bidder_5)
  turn 11: GPT-5.4 RAISE to 600 (before=550, leader_after=bidder_1)
  turn 12: Grok RAISE to 650 (before=600, leader_after=bidder_2)
  turn 13: Opus RAISE to 700 (before=650, leader_after=bidder_3)
  turn 14: Math-T2 RAISE to 750 (before=700, leader_after=bidder_4)
  turn 15: Llama RAISE to 800 (before=750, leader_after=bidder_5)
  turn 16: GPT-5.4 RAISE to 850 (before=800, leader_after=bidder_1)
  turn 17: Grok RAISE to 900 (before=850, leader_after=bidder_2)
  turn 18: Opus RAISE to 950 (before=900, leader_after=bidder_3)
  turn 19: Math-T2 RAISE to 1000 (before=950, leader_after=bidder_4)
  turn 20: Llama RAISE to 1100 (before=1000, leader_after=bidder_5)
  turn 21: GPT-5.4 RAISE to 1200 (before=1100, leader_after=bidder_1)
  turn 22: Grok PASS (before=1200, leader_after=bidder_1)
  turn 23: Opus PASS (before=1200, leader_after=bidder_1)
  turn 24: Math-T2 PASS (before=1200, leader_after=bidder_1)
  turn 25: Llama RAISE to 1300 (before=1200, leader_after=bidder_5)
  turn 26: GPT-5.4 RAISE to 1400 (before=1300, leader_after=bidder_1)
  turn 27: Llama PASS (before=1400, leader_after=bidder_1)

painting_5 | status=sold | winner=Llama | winning_bid=1400
  turn 1: GPT-5.4 RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Grok RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Opus RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Math-T2 RAISE to 250 (before=200, leader_after=bidder_4)
  turn 5: Llama RAISE to 300 (before=250, leader_after=bidder_5)
  turn 6: GPT-5.4 RAISE to 350 (before=300, leader_after=bidder_1)
  turn 7: Grok RAISE to 400 (before=350, leader_after=bidder_2)
  turn 8: Opus RAISE to 450 (before=400, leader_after=bidder_3)
  turn 9: Math-T2 RAISE to 500 (before=450, leader_after=bidder_4)
  turn 10: Llama RAISE to 550 (before=500, leader_after=bidder_5)
  turn 11: GPT-5.4 RAISE to 600 (before=550, leader_after=bidder_1)
  turn 12: Grok PASS (before=600, leader_after=bidder_1)
  turn 13: Opus RAISE to 650 (before=600, leader_after=bidder_3)
  turn 14: Math-T2 RAISE to 700 (before=650, leader_after=bidder_4)
  turn 15: Llama RAISE to 750 (before=700, leader_after=bidder_5)
  turn 16: GPT-5.4 RAISE to 800 (before=750, leader_after=bidder_1)
  turn 17: Opus RAISE to 850 (before=800, leader_after=bidder_3)
  turn 18: Math-T2 RAISE to 900 (before=850, leader_after=bidder_4)
  turn 19: Llama RAISE to 950 (before=900, leader_after=bidder_5)
  turn 20: GPT-5.4 RAISE to 1000 (before=950, leader_after=bidder_1)
  turn 21: Opus RAISE to 1100 (before=1000, leader_after=bidder_3)
  turn 22: Math-T2 RAISE to 1200 (before=1100, leader_after=bidder_4)
  turn 23: Llama RAISE to 1400 (before=1200, leader_after=bidder_5)
  turn 24: GPT-5.4 PASS (before=1400, leader_after=bidder_5)
  turn 25: Opus PASS (before=1400, leader_after=bidder_5)
  turn 26: Math-T2 PASS (before=1400, leader_after=bidder_5)

painting_6 | status=sold | winner=Grok | winning_bid=1500
  turn 1: GPT-5.4 RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Grok RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Opus RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Math-T2 RAISE to 250 (before=200, leader_after=bidder_4)
  turn 5: Llama RAISE to 300 (before=250, leader_after=bidder_5)
  turn 6: GPT-5.4 RAISE to 350 (before=300, leader_after=bidder_1)
  turn 7: Grok RAISE to 400 (before=350, leader_after=bidder_2)
  turn 8: Opus RAISE to 450 (before=400, leader_after=bidder_3)
  turn 9: Math-T2 RAISE to 500 (before=450, leader_after=bidder_4)
  turn 10: Llama RAISE to 550 (before=500, leader_after=bidder_5)
  turn 11: GPT-5.4 RAISE to 600 (before=550, leader_after=bidder_1)
  turn 12: Grok RAISE to 650 (before=600, leader_after=bidder_2)
  turn 13: Opus RAISE to 700 (before=650, leader_after=bidder_3)
  turn 14: Math-T2 RAISE to 750 (before=700, leader_after=bidder_4)
  turn 15: Llama RAISE to 800 (before=750, leader_after=bidder_5)
  turn 16: GPT-5.4 RAISE to 850 (before=800, leader_after=bidder_1)
  turn 17: Grok RAISE to 900 (before=850, leader_after=bidder_2)
  turn 18: Opus RAISE to 950 (before=900, leader_after=bidder_3)
  turn 19: Math-T2 RAISE to 1000 (before=950, leader_after=bidder_4)
  turn 20: Llama RAISE to 1200 (before=1000, leader_after=bidder_5)
  turn 21: GPT-5.4 PASS (before=1200, leader_after=bidder_5)
  turn 22: Grok RAISE to 1300 (before=1200, leader_after=bidder_2)
  turn 23: Opus PASS (before=1300, leader_after=bidder_2)
  turn 24: Math-T2 RAISE to 1400 (before=1300, leader_after=bidder_4)
  turn 25: Llama PASS (before=1400, leader_after=bidder_4)
  turn 26: Grok RAISE to 1500 (before=1400, leader_after=bidder_2)
  turn 27: Math-T2 PASS (before=1500, leader_after=bidder_2)

painting_7 | status=sold | winner=Math-T2 | winning_bid=1500
  turn 1: GPT-5.4 RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Grok RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Opus RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Math-T2 RAISE to 250 (before=200, leader_after=bidder_4)
  turn 5: Llama RAISE to 300 (before=250, leader_after=bidder_5)
  turn 6: GPT-5.4 RAISE to 350 (before=300, leader_after=bidder_1)
  turn 7: Grok RAISE to 400 (before=350, leader_after=bidder_2)
  turn 8: Opus RAISE to 450 (before=400, leader_after=bidder_3)
  turn 9: Math-T2 RAISE to 500 (before=450, leader_after=bidder_4)
  turn 10: Llama RAISE to 550 (before=500, leader_after=bidder_5)
  turn 11: GPT-5.4 RAISE to 600 (before=550, leader_after=bidder_1)
  turn 12: Grok RAISE to 650 (before=600, leader_after=bidder_2)
  turn 13: Opus RAISE to 700 (before=650, leader_after=bidder_3)
  turn 14: Math-T2 RAISE to 750 (before=700, leader_after=bidder_4)
  turn 15: Llama RAISE to 800 (before=750, leader_after=bidder_5)
  turn 16: GPT-5.4 RAISE to 850 (before=800, leader_after=bidder_1)
  turn 17: Grok RAISE to 900 (before=850, leader_after=bidder_2)
  turn 18: Opus RAISE to 950 (before=900, leader_after=bidder_3)
  turn 19: Math-T2 RAISE to 1000 (before=950, leader_after=bidder_4)
  turn 20: Llama RAISE to 1100 (before=1000, leader_after=bidder_5)
  turn 21: GPT-5.4 RAISE to 1200 (before=1100, leader_after=bidder_1)
  turn 22: Grok RAISE to 1300 (before=1200, leader_after=bidder_2)
  turn 23: Opus RAISE to 1400 (before=1300, leader_after=bidder_3)
  turn 24: Math-T2 RAISE to 1500 (before=1400, leader_after=bidder_4)
  turn 25: Llama PASS (before=1500, leader_after=bidder_4)
  turn 26: GPT-5.4 PASS (before=1500, leader_after=bidder_4)
  turn 27: Grok PASS (before=1500, leader_after=bidder_4)
  turn 28: Opus PASS (before=1500, leader_after=bidder_4)

painting_8 | status=sold | winner=Math-T2 | winning_bid=1700
  turn 1: GPT-5.4 RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Grok RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Opus RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Math-T2 RAISE to 250 (before=200, leader_after=bidder_4)
  turn 5: Llama RAISE to 300 (before=250, leader_after=bidder_5)
  turn 6: GPT-5.4 RAISE to 350 (before=300, leader_after=bidder_1)
  turn 7: Grok RAISE to 400 (before=350, leader_after=bidder_2)
  turn 8: Opus RAISE to 450 (before=400, leader_after=bidder_3)
  turn 9: Math-T2 RAISE to 500 (before=450, leader_after=bidder_4)
  turn 10: Llama RAISE to 550 (before=500, leader_after=bidder_5)
  turn 11: GPT-5.4 RAISE to 600 (before=550, leader_after=bidder_1)
  turn 12: Grok RAISE to 650 (before=600, leader_after=bidder_2)
  turn 13: Opus RAISE to 700 (before=650, leader_after=bidder_3)
  turn 14: Math-T2 RAISE to 750 (before=700, leader_after=bidder_4)
  turn 15: Llama RAISE to 800 (before=750, leader_after=bidder_5)
  turn 16: GPT-5.4 RAISE to 850 (before=800, leader_after=bidder_1)
  turn 17: Grok RAISE to 900 (before=850, leader_after=bidder_2)
  turn 18: Opus RAISE to 950 (before=900, leader_after=bidder_3)
  turn 19: Math-T2 RAISE to 1000 (before=950, leader_after=bidder_4)
  turn 20: Llama RAISE to 1100 (before=1000, leader_after=bidder_5)
  turn 21: GPT-5.4 RAISE to 1200 (before=1100, leader_after=bidder_1)
  turn 22: Grok RAISE to 1300 (before=1200, leader_after=bidder_2)
  turn 23: Opus RAISE to 1600 (before=1300, leader_after=bidder_3)
  turn 24: Math-T2 RAISE to 1700 (before=1600, leader_after=bidder_4)
  turn 25: Llama PASS (before=1700, leader_after=bidder_4)
  turn 26: GPT-5.4 PASS (before=1700, leader_after=bidder_4)
  turn 27: Grok PASS (before=1700, leader_after=bidder_4)
  turn 28: Opus PASS (before=1700, leader_after=bidder_4)

painting_9 | status=sold | winner=GPT-5.4 | winning_bid=2200
  turn 1: GPT-5.4 RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Grok RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Opus RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Math-T2 RAISE to 250 (before=200, leader_after=bidder_4)
  turn 5: Llama RAISE to 300 (before=250, leader_after=bidder_5)
  turn 6: GPT-5.4 RAISE to 350 (before=300, leader_after=bidder_1)
  turn 7: Grok RAISE to 400 (before=350, leader_after=bidder_2)
  turn 8: Opus RAISE to 450 (before=400, leader_after=bidder_3)
  turn 9: Math-T2 RAISE to 500 (before=450, leader_after=bidder_4)
  turn 10: Llama RAISE to 550 (before=500, leader_after=bidder_5)
  turn 11: GPT-5.4 RAISE to 600 (before=550, leader_after=bidder_1)
  turn 12: Grok RAISE to 650 (before=600, leader_after=bidder_2)
  turn 13: Opus RAISE to 700 (before=650, leader_after=bidder_3)
  turn 14: Math-T2 RAISE to 750 (before=700, leader_after=bidder_4)
  turn 15: Llama RAISE to 800 (before=750, leader_after=bidder_5)
  turn 16: GPT-5.4 RAISE to 850 (before=800, leader_after=bidder_1)
  turn 17: Grok RAISE to 900 (before=850, leader_after=bidder_2)
  turn 18: Opus RAISE to 950 (before=900, leader_after=bidder_3)
  turn 19: Math-T2 RAISE to 1000 (before=950, leader_after=bidder_4)
  turn 20: Llama RAISE to 1100 (before=1000, leader_after=bidder_5)
  turn 21: GPT-5.4 RAISE to 1200 (before=1100, leader_after=bidder_1)
  turn 22: Grok RAISE to 1300 (before=1200, leader_after=bidder_2)
  turn 23: Opus RAISE to 1400 (before=1300, leader_after=bidder_3)
  turn 24: Math-T2 RAISE to 1500 (before=1400, leader_after=bidder_4)
  turn 25: Llama RAISE to 1600 (before=1500, leader_after=bidder_5)
  turn 26: GPT-5.4 RAISE to 1700 (before=1600, leader_after=bidder_1)
  turn 27: Grok RAISE to 1800 (before=1700, leader_after=bidder_2)
  turn 28: Opus RAISE to 1900 (before=1800, leader_after=bidder_3)
  turn 29: Math-T2 PASS (before=1900, leader_after=bidder_3)
