Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_GPT-5.4,max_bid_Grok,max_bid_Llama,max_bid_Math-T2,max_bid_Opus
painting_1,sold,Llama,1200,1100,650,1200,750,700
painting_2,sold,Opus,1100,1000,750,650,850,1100
painting_3,sold,Llama,1100,950,150,1100,1000,800
painting_4,sold,GPT-5.4,1400,1400,900,1300,1000,950
painting_5,sold,Llama,1400,1000,400,1400,1200,1100
painting_6,sold,Grok,1500,850,1500,1200,1400,950
painting_7,sold,Math-T2,1500,1200,1300,1100,1500,1400
painting_8,sold,Math-T2,1700,1200,1300,1100,1700,1600
painting_9,sold,GPT-5.4,2200,2200,2100,1600,1500,1900
painting_10,sold,Grok,2600,1800,2600,2300,2100,2500
painting_11,sold,Opus,3950,3200,,3700,,3950
painting_12,sold,Math-T2,6650,6400,,,6650,

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
GPT-5.4,2,6400,3600,0.36,12,12,0,2191.667
Grok,2,5900,4100,0.41,12,12,0,2191.667
Llama,3,6300,3700,0.37,12,12,0,2191.667
Math-T2,3,150,9850,0.985,12,12,0,2191.667
Opus,2,4950,5050,0.505,12,12,0,2191.667
