Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_GPT-5.4,max_bid_Grok,max_bid_Llama,max_bid_Opus,max_bid_Pro
painting_1,sold,Llama,1300,1100,750,1300,650,950
painting_2,sold,Pro,1100,1000,,650,850,1100
painting_3,sold,Opus,1500,1000,450,1400,1500,700
painting_4,sold,GPT-5.4,1100,1100,950,800,850,1000
painting_5,sold,Llama,1400,1200,950,1400,850,1000
painting_6,sold,Grok,1400,1300,1400,1100,1200,1000
painting_7,sold,GPT-5.4,1400,1400,200,1200,1300,1100
painting_8,sold,Llama,2100,1300,1400,2100,1800,1900
painting_9,sold,Pro,2200,1800,1900,1200,2100,2200
painting_10,sold,Grok,2800,2500,2800,1600,2700,2000
painting_11,sold,Pro,6700,3500,1400,3000,4000,6700
painting_12,sold,Opus,7501,,,,7501,

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
GPT-5.4,2,7500,2500,0.25,12,12,0,2541.75
Grok,2,5800,4200,0.42,12,12,0,2541.75
Llama,3,5200,4800,0.48,12,12,0,2541.75
Opus,2,999,9001,0.9,12,12,0,2541.75
Pro,3,0,10000,1.0,12,12,0,2541.75
