Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T4,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Llama,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Math-T4,1300,1300,1200,950,750,1000
painting_2,sold,Math-T4,1700,1700,1000,1600,1300,1400
painting_3,sold,Mimic-Llama,4800,4550,1650,4800,1250,1850
painting_4,sold,Math-T4,2600,2600,1000,2500,1400,1600
painting_5,sold,Math-T4,2700,2700,2000,550,2600,1700
painting_6,sold,Mimic-Llama,2750,1450,2450,2750,2250,1950
painting_7,sold,Mimic-Opus,4300,1350,4050,2150,4300,2350
painting_8,sold,Mimic-GPT-5.4,3500,1300,3500,2100,1600,3000
painting_9,sold,Mimic-Pro,5350,1600,5100,2300,2400,5350
painting_10,sold,Mimic-GPT-5.4,5500,1600,5500,2300,5000,4500
painting_11,sold,Mimic-Opus,2450,1150,800,2350,2450,1950
painting_12,sold,Mimic-Pro,3050,1350,950,2250,2950,3050

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T4,4,1700,8300,0.83,12,12,0,3333.333
Mimic-GPT-5.4,2,1000,9000,0.9,12,12,0,3333.333
Mimic-Llama,2,2450,7550,0.755,12,12,0,3333.333
Mimic-Opus,2,3250,6750,0.675,12,12,0,3333.333
Mimic-Pro,2,1600,8400,0.84,12,12,0,3333.333
