Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_GPT-5.4,max_bid_Grok,max_bid_Llama,max_bid_Opus,max_bid_Pro
painting_1,sold,Llama,2000,600,250,2000,750,
painting_2,sold,Llama,2000,650,600,2000,550,350
painting_3,sold,Opus,200,100,,150,200,
painting_4,sold,GPT-5.4,300,300,250,150,200,
painting_5,sold,Opus,750,600,,700,750,
painting_6,sold,GPT-5.4,750,750,400,700,200,450
painting_7,sold,Opus,950,900,300,700,950,
painting_8,sold,GPT-5.4,650,650,400,600,200,
painting_9,sold,Grok,300,100,300,150,200,
painting_10,sold,Opus,550,500,250,150,550,
painting_11,sold,Grok,6000,650,6000,6250,200,
painting_12,sold,GPT-5.4,8300,8300,,8550,,

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
GPT-5.4,4,0,10000,1.0,12,12,0,1895.833
Grok,2,3700,6300,0.63,12,12,0,1895.833
Llama,2,6000,4000,0.4,12,12,0,1895.833
Opus,4,7550,2450,0.245,12,12,0,1895.833
Pro,0,10000,0,0.0,12,12,0,1895.833
