Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T5,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Math-T5,1100,1100,1000,,450,800
painting_2,sold,Math-T5,1600,1600,900,1200,1500,1300
painting_3,sold,Mimic-Grok,2100,1900,1400,2100,1700,1300
painting_4,sold,Math-T5,2000,2000,850,400,1600,1900
painting_5,sold,Math-T5,1850,1850,1550,350,1750,1350
painting_6,sold,Math-T5,2350,2350,1550,700,2250,1450
painting_7,sold,Mimic-Opus,3000,250,2900,1400,3000,1900
painting_8,sold,Mimic-GPT-5.4,2200,800,2200,950,1200,2100
painting_9,sold,Mimic-Grok,3000,250,2900,3000,1800,2800
painting_10,sold,Mimic-Pro,4250,250,3500,600,4000,4250
painting_11,sold,Mimic-Pro,5750,,5250,4500,5500,5750
painting_12,sold,Mimic-GPT-5.4,2300,,2300,1700,2200,

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T5,5,1100,8900,0.89,12,12,0,2625.0
Mimic-GPT-5.4,2,5500,4500,0.45,12,12,0,2625.0
Mimic-Grok,2,4900,5100,0.51,12,12,0,2625.0
Mimic-Opus,1,7000,3000,0.3,12,12,0,2625.0
Mimic-Pro,2,0,10000,1.0,12,12,0,2625.0
