Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T4,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Math-T4,900,900,850,,500,800
painting_2,sold,Math-T4,1550,1550,900,450,1350,1450
painting_3,sold,Math-T4,2200,2200,1200,1600,2100,1500
painting_4,sold,Math-T4,1850,1850,1150,1750,1450,1550
painting_5,sold,Math-T4,2100,2100,1800,1700,1500,2000
painting_6,sold,Mimic-Opus,2500,1400,2100,1900,2500,2300
painting_7,sold,Mimic-GPT-5.4,2500,1300,2500,2400,1400,2300
painting_8,sold,Mimic-Grok,2500,1200,2300,2500,1400,2000
painting_9,sold,Mimic-GPT-5.4,3750,900,3750,1400,2000,3500
painting_10,sold,Mimic-Pro,4500,1100,2200,150,4250,4500
painting_11,sold,Mimic-Grok,5000,1300,2700,5000,4750,3750
painting_12,sold,Mimic-Opus,3750,1100,3250,250,3750,3000

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T4,5,1400,8600,0.86,12,12,0,2758.333
Mimic-GPT-5.4,2,3750,6250,0.625,12,12,0,2758.333
Mimic-Grok,2,2500,7500,0.75,12,12,0,2758.333
Mimic-Opus,2,3750,6250,0.625,12,12,0,2758.333
Mimic-Pro,1,5500,4500,0.45,12,12,0,2758.333
