Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_GPT-5.4,max_bid_Grok,max_bid_Math-T2,max_bid_Opus,max_bid_Pro
painting_1,sold,GPT-5.4,850,850,650,800,700,750
painting_2,sold,Opus,950,850,900,800,950,750
painting_3,sold,Pro,1100,850,900,1000,700,1100
painting_4,sold,Math-T2,1100,850,900,1100,950,1000
painting_5,sold,Grok,1200,850,1200,1100,950,1000
painting_6,sold,GPT-5.4,1400,1400,900,1100,1300,1000
painting_7,sold,Math-T2,1500,1200,1300,1500,1400,1000
painting_8,sold,Opus,1700,1200,1600,1100,1700,1500
painting_9,sold,Grok,2200,1700,2200,1600,1400,2100
painting_10,sold,Pro,3000,2900,1800,2400,1900,3000
painting_11,sold,Opus,6150,3500,2800,3250,6150,5900
painting_12,sold,GPT-5.4,7400,7400,150,7150,200,5900

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
GPT-5.4,3,350,9650,0.965,12,12,0,2379.167
Grok,2,6600,3400,0.34,12,12,0,2379.167
Math-T2,2,7400,2600,0.26,12,12,0,2379.167
Opus,3,1200,8800,0.88,12,12,0,2379.167
Pro,2,5900,4100,0.41,12,12,0,2379.167
