Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T5,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Math-T5,1200,1200,850,200,900,1100
painting_2,sold,Math-T5,1100,1100,1000,650,600,850
painting_3,sold,Math-T5,1600,1600,950,1100,1000,1500
painting_4,sold,Mimic-Opus,1800,1600,1100,700,1800,1300
painting_5,sold,Math-T5,1600,1600,1400,1100,800,1500
painting_6,sold,Math-T5,2300,2300,1700,1200,1800,2200
painting_7,sold,Mimic-GPT-5.4,2400,2100,2400,2300,1500,1700
painting_8,sold,Math-T5,2200,2200,1800,2000,1900,2100
painting_9,sold,Mimic-Grok,2900,,2800,2900,2500,2700
painting_10,sold,Mimic-GPT-5.4,2200,,2200,1100,2100,450
painting_11,sold,Mimic-Pro,3800,,2850,1850,3550,3800
painting_12,sold,Mimic-Opus,4250,,4000,1400,4250,2800

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T5,6,0,10000,1.0,12,12,0,2279.167
Mimic-GPT-5.4,2,5400,4600,0.46,12,12,0,2279.167
Mimic-Grok,1,7100,2900,0.29,12,12,0,2279.167
Mimic-Opus,2,3950,6050,0.605,12,12,0,2279.167
Mimic-Pro,1,6200,3800,0.38,12,12,0,2279.167
