Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T4,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Llama,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Math-T4,1400,1400,800,1200,700,1300
painting_2,sold,Math-T4,4400,4400,1350,4150,800,1750
painting_3,sold,Mimic-Llama,4250,4000,1400,4250,2000,1200
painting_4,sold,Math-T4,2600,2600,2100,1300,2500,2000
painting_5,sold,Mimic-Llama,3250,1400,1900,3250,3000,1700
painting_6,sold,Mimic-Opus,3300,1450,3050,2450,3300,2950
painting_7,sold,Mimic-GPT-5.4,3000,1200,3000,2200,2300,2900
painting_8,sold,Mimic-Pro,3850,1400,3350,2300,2900,3850
painting_9,sold,Mimic-Pro,5750,1500,4750,2200,5500,5750
painting_10,sold,Mimic-GPT-5.4,7000,1500,7000,2500,6600,150
painting_11,sold,Mimic-Opus,2500,1400,,2400,2500,350
painting_12,sold,Mimic-Opus,2500,1400,,2300,2500,250

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T4,3,1600,8400,0.84,12,12,0,3650.0
Mimic-GPT-5.4,2,0,10000,1.0,12,12,0,3650.0
Mimic-Llama,2,2500,7500,0.75,12,12,0,3650.0
Mimic-Opus,3,1700,8300,0.83,12,12,0,3650.0
Mimic-Pro,2,400,9600,0.96,12,12,0,3650.0
