Auction Bid Log Export
Total paintings processed: 12
Sold: 12 | Unsold: 0
Average winning bid: 2795.833

painting_1 | status=sold | winner=Math-T1 | winning_bid=950
  turn 1: Mimic-Opus RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Mimic-GPT-5.4 RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Math-T1 RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Mimic-Pro RAISE to 250 (before=200, leader_after=bidder_4)
  turn 5: Mimic-Grok RAISE to 300 (before=250, leader_after=bidder_5)
  turn 6: Mimic-Opus RAISE to 350 (before=300, leader_after=bidder_1)
  turn 7: Mimic-GPT-5.4 RAISE to 450 (before=350, leader_after=bidder_2)
  turn 8: Math-T1 RAISE to 500 (before=450, leader_after=bidder_3)
  turn 9: Mimic-Pro RAISE to 550 (before=500, leader_after=bidder_4)
  turn 10: Mimic-Grok RAISE to 600 (before=550, leader_after=bidder_5)
  turn 11: Mimic-Opus RAISE to 650 (before=600, leader_after=bidder_1)
  turn 12: Mimic-GPT-5.4 RAISE to 750 (before=650, leader_after=bidder_2)
  turn 13: Math-T1 RAISE to 800 (before=750, leader_after=bidder_3)
  turn 14: Mimic-Pro RAISE to 850 (before=800, leader_after=bidder_4)
  turn 15: Mimic-Grok PASS (before=850, leader_after=bidder_4)
  turn 16: Mimic-Opus PASS (before=850, leader_after=bidder_4)
  turn 17: Mimic-GPT-5.4 RAISE to 900 (before=850, leader_after=bidder_2)
  turn 18: Math-T1 RAISE to 950 (before=900, leader_after=bidder_3)
  turn 19: Mimic-Pro PASS (before=950, leader_after=bidder_3)
  turn 20: Mimic-GPT-5.4 PASS (before=950, leader_after=bidder_3)

painting_2 | status=sold | winner=Math-T1 | winning_bid=1450
  turn 1: Mimic-Opus RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Mimic-GPT-5.4 RAISE to 200 (before=100, leader_after=bidder_2)
  turn 3: Math-T1 RAISE to 250 (before=200, leader_after=bidder_3)
  turn 4: Mimic-Pro RAISE to 300 (before=250, leader_after=bidder_4)
  turn 5: Mimic-Grok PASS (before=300, leader_after=bidder_4)
  turn 6: Mimic-Opus RAISE to 350 (before=300, leader_after=bidder_1)
  turn 7: Mimic-GPT-5.4 RAISE to 400 (before=350, leader_after=bidder_2)
  turn 8: Math-T1 RAISE to 450 (before=400, leader_after=bidder_3)
  turn 9: Mimic-Pro RAISE to 500 (before=450, leader_after=bidder_4)
