Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T1,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Math-T1,950,950,900,600,650,850
painting_2,sold,Math-T1,1450,1450,1350,,550,1050
painting_3,sold,Math-T1,1900,1900,1400,1100,1300,1800
painting_4,sold,Math-T1,2200,2200,1300,1600,1200,2100
painting_5,sold,Math-T1,2600,2600,1100,,2300,2500
painting_6,sold,Mimic-Opus,1900,850,1800,350,1900,1600
painting_7,sold,Mimic-GPT-5.4,2600,850,2600,2400,1000,2000
painting_8,sold,Mimic-Grok,2700,800,2100,2700,2000,2400
painting_9,sold,Mimic-Pro,2900,850,2800,1600,2400,2900
painting_10,sold,Mimic-Grok,3750,650,3250,3750,3000,3500
painting_11,sold,Mimic-GPT-5.4,5350,850,5350,1800,5100,4100
painting_12,sold,Mimic-Opus,5250,750,2000,600,5250,5000

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T1,5,900,9100,0.91,12,12,0,2795.833
Mimic-GPT-5.4,2,2050,7950,0.795,12,12,0,2795.833
Mimic-Grok,2,3550,6450,0.645,12,12,0,2795.833
Mimic-Opus,2,2850,7150,0.715,12,12,0,2795.833
Mimic-Pro,1,7100,2900,0.29,12,12,0,2795.833
