Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T2,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Llama,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Mimic-GPT-5.4,1350,850,1350,1250,900,1050
painting_2,sold,Mimic-Llama,1200,750,850,1200,800,1100
painting_3,sold,Mimic-Opus,1400,850,650,1100,1400,1000
painting_4,sold,Mimic-Llama,1300,1100,800,1300,250,950
painting_5,sold,Mimic-Pro,1300,1200,800,650,1000,1300
painting_6,sold,Mimic-Llama,1700,1400,1100,1700,250,1600
painting_7,sold,Math-T2,1700,1700,1400,1100,1600,1000
painting_8,sold,Mimic-Pro,1650,1250,1550,1150,1350,1650
painting_9,sold,Mimic-Llama,2700,2000,,2700,2500,1100
painting_10,sold,Mimic-Opus,3750,2700,3500,1700,3750,2300
painting_11,sold,Mimic-GPT-5.4,4250,4000,4250,1400,1600,150
painting_12,sold,Math-T2,6250,6250,4250,2600,1700,6000

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T2,2,2050,7950,0.795,12,12,0,2379.167
Mimic-GPT-5.4,2,4400,5600,0.56,12,12,0,2379.167
Mimic-Llama,4,3100,6900,0.69,12,12,0,2379.167
Mimic-Opus,2,4850,5150,0.515,12,12,0,2379.167
Mimic-Pro,2,7050,2950,0.295,12,12,0,2379.167
