Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T3,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Llama,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Mimic-Pro,1200,650,1100,1000,900,1200
painting_2,sold,Mimic-Llama,1500,1000,1300,1500,950,800
painting_3,sold,Mimic-Opus,1700,1000,1600,1100,1700,700
painting_4,sold,Mimic-Llama,1600,950,1400,1600,1500,1000
painting_5,sold,Mimic-GPT-5.4,1650,1550,1650,900,1150,1350
painting_6,sold,Mimic-Llama,1900,1600,950,1900,1000,1700
painting_7,sold,Math-T3,1800,1800,1700,850,1400,1200
painting_8,sold,Math-T3,2250,2250,1750,800,1950,2150
painting_9,sold,Mimic-Pro,2500,1500,2300,1800,2400,2500
painting_10,sold,Math-T3,4000,4000,3750,1800,3000,2800
painting_11,sold,Mimic-GPT-5.4,5050,1450,5050,4550,3800,4050
painting_12,sold,Mimic-Opus,6000,1800,3000,4250,6000,5750

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T3,3,1950,8050,0.805,12,12,0,2595.833
Mimic-GPT-5.4,2,3300,6700,0.67,12,12,0,2595.833
Mimic-Llama,3,5000,5000,0.5,12,12,0,2595.833
Mimic-Opus,2,2300,7700,0.77,12,12,0,2595.833
Mimic-Pro,2,6300,3700,0.37,12,12,0,2595.833
