Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_GPT-5.4,max_bid_Grok,max_bid_Llama,max_bid_Opus,max_bid_Pro
painting_1,sold,Llama,1500,250,150,1500,1100,
painting_2,sold,Llama,6000,1000,150,6000,5750,
painting_3,sold,Opus,2600,500,,2500,2600,
painting_4,sold,GPT-5.4,2500,2500,200,2600,,
painting_5,sold,GPT-5.4,550,550,,150,500,100
painting_6,sold,Opus,550,500,200,150,550,100
painting_7,sold,Grok,150,,150,100,,
painting_8,sold,GPT-5.4,1100,1100,1000,150,,100
painting_9,sold,Grok,2501,,2501,100,,
painting_10,sold,Opus,1000,950,150,100,1000,
painting_11,sold,Grok,2600,,2600,2500,,
painting_12,sold,GPT-5.4,5850,5850,,100,2550,

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
GPT-5.4,4,0,10000,1.0,12,12,0,2241.75
Grok,3,4749,5251,0.525,12,12,0,2241.75
Llama,2,2500,7500,0.75,12,12,0,2241.75
Opus,3,5850,4150,0.415,12,12,0,2241.75
Pro,0,10000,0,0.0,12,12,0,2241.75
