Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T5,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Mimic-Opus,1400,,,1200,1400,1300
painting_2,sold,Mimic-Llama,2150,1950,1250,2150,800,1050
painting_3,sold,Math-T5,1150,1150,800,900,750,1050
painting_4,sold,Math-T5,1300,1300,1000,700,800,1200
painting_5,sold,Math-T5,2600,2600,1800,2500,1700,1600
painting_6,sold,Mimic-Llama,3850,3350,2800,3850,2700,2100
painting_7,sold,Math-T5,3300,3300,2850,2450,3050,2650
painting_8,sold,Mimic-Llama,3000,1400,2500,3000,2900,2200
painting_9,sold,Mimic-Opus,3350,500,2500,950,3350,3100
painting_10,sold,Mimic-Pro,4200,1500,3700,850,2100,4200
painting_11,sold,Mimic-Grok,3250,350,3250,1000,2200,3000
painting_12,sold,Mimic-Grok,5750,100,5750,950,4750,5500

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T5,4,1650,8350,0.835,12,12,0,2941.667
Mimic-Grok,2,1000,9000,0.9,12,12,0,2941.667
Mimic-Llama,3,1000,9000,0.9,12,12,0,2941.667
Mimic-Opus,2,5250,4750,0.475,12,12,0,2941.667
Mimic-Pro,1,5800,4200,0.42,12,12,0,2941.667
