Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T1,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Llama,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Math-T1,1000,1000,850,700,600,950
painting_2,sold,Math-T1,2500,2500,1800,2400,1300,1600
painting_3,sold,Mimic-Llama,6500,6250,1400,6500,1900,1200
painting_4,sold,Math-T1,4150,4150,1150,1550,3900,150
painting_5,sold,Mimic-Opus,2500,2300,700,2400,2500,2100
painting_6,sold,Mimic-Llama,3500,2200,3250,3500,2100,2400
painting_7,sold,Mimic-GPT-5.4,4000,2100,4000,,3750,3000
painting_8,sold,Mimic-Pro,4500,2000,2600,,4250,4500
painting_9,sold,Mimic-Opus,4800,2150,4300,,4800,3300
painting_10,sold,Mimic-GPT-5.4,5750,2300,5750,,2200,5500
painting_11,sold,Mimic-Opus,2300,2200,200,,2300,900
painting_12,sold,Mimic-Pro,2400,2300,200,,300,2400

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T1,3,2350,7650,0.765,12,12,0,3658.333
Mimic-GPT-5.4,2,250,9750,0.975,12,12,0,3658.333
Mimic-Llama,2,0,10000,1.0,12,12,0,3658.333
Mimic-Opus,3,400,9600,0.96,12,12,0,3658.333
Mimic-Pro,2,3100,6900,0.69,12,12,0,3658.333
