Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T5,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Pro
painting_1,sold,Math-T5,1300,1300,1000,400,1200,900
painting_2,sold,Mimic-Llama,1900,1800,1000,100,1900,950
painting_3,sold,Math-T5,1550,1550,1250,1450,950,1150
painting_4,sold,Mimic-Llama,2000,1800,1200,1100,2000,200
painting_5,sold,Math-T5,1800,1800,1500,950,1700,1400
painting_6,sold,Mimic-Llama,3250,3000,2500,2400,3250,1300
painting_7,sold,Math-T5,3500,3500,3250,3000,1400,2200
painting_8,sold,Mimic-GPT-5.4,2800,250,2800,2700,2600,2400
painting_9,sold,Mimic-Grok,4000,1800,2800,4000,2400,3750
painting_10,sold,Mimic-Pro,5350,250,5100,2400,2800,5350
painting_11,sold,Mimic-GPT-5.4,950,,950,350,550,900
painting_12,sold,Mimic-GPT-5.4,5850,300,5850,5600,2600,550

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T5,4,1850,8150,0.815,12,12,0,2854.167
Mimic-GPT-5.4,3,400,9600,0.96,12,12,0,2854.167
Mimic-Grok,1,6000,4000,0.4,12,12,0,2854.167
Mimic-Llama,3,2850,7150,0.715,12,12,0,2854.167
Mimic-Pro,1,4650,5350,0.535,12,12,0,2854.167
