Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T4,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Pro
painting_1,sold,Math-T4,1300,1300,1200,550,950,1100
painting_2,sold,Math-T4,3000,3000,1500,1400,2900,950
painting_3,sold,Mimic-Llama,4550,4300,1350,200,4550,1650
painting_4,sold,Math-T4,2200,2200,2000,900,2100,1200
painting_5,sold,Mimic-Llama,3750,3500,,1700,3750,1500
painting_6,sold,Mimic-GPT-5.4,3500,3000,3500,2000,1600,1800
painting_7,sold,Mimic-Grok,3500,3250,3000,3500,1400,2800
painting_8,sold,Mimic-Pro,4000,3250,3750,250,1500,4000
painting_9,sold,Mimic-Grok,5250,3250,4250,5250,1500,5000
painting_10,sold,Mimic-GPT-5.4,6000,3500,6000,500,1500,5500
painting_11,sold,Mimic-Pro,3750,3500,350,1200,1600,3750
painting_12,sold,Math-T4,2350,2350,250,1000,1600,2250

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T4,4,1150,8850,0.885,12,12,0,3595.833
Mimic-GPT-5.4,2,500,9500,0.95,12,12,0,3595.833
Mimic-Grok,2,1250,8750,0.875,12,12,0,3595.833
Mimic-Llama,2,1700,8300,0.83,12,12,0,3595.833
Mimic-Pro,2,2250,7750,0.775,12,12,0,3595.833
