Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T3,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Mimic-Pro,900,800,750,850,700,900
painting_2,sold,Mimic-Opus,1100,1000,950,750,1100,800
painting_3,sold,Mimic-GPT-5.4,1100,1000,1100,800,650,600
painting_4,sold,Mimic-Grok,1400,1000,950,1400,1300,1200
painting_5,sold,Mimic-Opus,1550,1350,1250,700,1550,1450
painting_6,sold,Math-T3,1300,1300,1200,250,600,1100
painting_7,sold,Math-T3,1850,1850,1350,900,650,1750
painting_8,sold,Mimic-Pro,2350,1250,2050,2150,750,2350
painting_9,sold,Mimic-GPT-5.4,1900,1500,1900,1600,1700,650
painting_10,sold,Math-T3,2800,2800,2500,1200,1500,2700
painting_11,sold,Mimic-Grok,4000,3000,2900,4000,2800,3750
painting_12,sold,Mimic-Opus,5750,3250,4000,,5750,5250

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T3,3,4050,5950,0.595,12,12,0,2166.667
Mimic-GPT-5.4,2,7000,3000,0.3,12,12,0,2166.667
Mimic-Grok,2,4600,5400,0.54,12,12,0,2166.667
Mimic-Opus,3,1600,8400,0.84,12,12,0,2166.667
Mimic-Pro,2,6750,3250,0.325,12,12,0,2166.667
