Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T2,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Mimic-Pro,900,550,850,650,750,900
painting_2,sold,Math-T2,900,900,700,550,850,650
painting_3,sold,Mimic-Opus,1000,950,900,700,1000,850
painting_4,sold,Mimic-GPT-5.4,1000,800,1000,850,900,950
painting_5,sold,Mimic-GPT-5.4,1200,1000,1200,1100,700,400
painting_6,sold,Mimic-Opus,1400,1200,1100,1300,1400,1000
painting_7,sold,Mimic-Grok,1700,1200,1100,1700,700,1600
painting_8,sold,Math-T2,1900,1900,1800,650,700,1700
painting_9,sold,Mimic-Pro,1800,1700,1600,1200,1300,1800
painting_10,sold,Math-T2,2450,2450,2050,2350,1950,1150
painting_11,sold,Mimic-Grok,3500,2000,3250,3500,2400,2800
painting_12,sold,Mimic-Opus,5500,4250,5250,550,5500,3500

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T2,3,4750,5250,0.525,12,12,0,1937.5
Mimic-GPT-5.4,2,7800,2200,0.22,12,12,0,1937.5
Mimic-Grok,2,4800,5200,0.52,12,12,0,1937.5
Mimic-Opus,3,2100,7900,0.79,12,12,0,1937.5
Mimic-Pro,2,7300,2700,0.27,12,12,0,1937.5
