Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T1,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Math-T1,1850,1850,900,950,1050,1750
painting_2,sold,Math-T1,1700,1700,1000,1200,1600,1400
painting_3,sold,Math-T1,1650,1650,1450,1050,1150,1550
painting_4,sold,Math-T1,2300,2300,1400,1600,2200,850
painting_5,sold,Math-T1,2350,2350,1450,2150,2250,1950
painting_6,sold,Mimic-Opus,2000,,950,1900,2000,1800
painting_7,sold,Mimic-GPT-5.4,2350,,2350,1750,1450,2250
painting_8,sold,Mimic-Grok,2900,,2100,2900,2400,2800
painting_9,sold,Mimic-Pro,2900,,2800,2600,2300,2900
painting_10,sold,Mimic-Opus,4050,,2650,3800,4050,2950
painting_11,sold,Mimic-GPT-5.4,1650,,1650,1350,1450,1550
painting_12,sold,Mimic-Grok,5000,,4750,5000,2700,4000

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T1,5,150,9850,0.985,12,12,0,2558.333
Mimic-GPT-5.4,2,6000,4000,0.4,12,12,0,2558.333
Mimic-Grok,2,2100,7900,0.79,12,12,0,2558.333
Mimic-Opus,2,3950,6050,0.605,12,12,0,2558.333
Mimic-Pro,1,7100,2900,0.29,12,12,0,2558.333
